April O'Neil, Human Element	Legendary Creature — Human Detective	U
April O'Neil, Kunoichi Trainee	Legendary Creature — Human Ninja	W
April O'Neil, Live on the Scene	Legendary Creature — Human Detective	U
April, Reporter of the Weird	Legendary Creature — Human Detective	U
Arabella, Abandoned Doll	Legendary Artifact Creature — Toy	RW
Arachne, Psionic Weaver	Legendary Creature — Spider Human Hero	W
Aradesh, the Founder	Legendary Creature — Human Soldier	W
Aragorn and Arwen, Wed	Legendary Creature — Human Elf Noble	GW
Aragorn, Company Leader	Legendary Creature — Human Ranger	GW
Aragorn, Hornburg Hero	Legendary Creature — Human Soldier	GRW
Aragorn, King of Gondor	Legendary Creature — Human Noble	RUW
Aragorn, the Uniter	Legendary Creature — Human Noble	GRUW
Arahbo, Roar of the World	Legendary Creature — Cat Avatar	GW
Arahbo, the First Fang	Legendary Creature — Cat Avatar	W
Araña, Heart of the Spider	Legendary Creature — Spider Human Hero	RW
Arashi, the Sky Asunder	Legendary Creature — Spirit	G
Arasta of the Endless Web	Legendary Enchantment Creature — Spider	G
Araumi of the Dead Tide	Legendary Creature — Merfolk Wizard	BU
Arbaaz Mir	Legendary Creature — Human Assassin	RW
Arcade Gannon	Legendary Creature — Human Doctor	UW
Arcades Sabboth	Legendary Creature — Elder Dragon	GUW
Arcades, the Strategist	Legendary Creature — Elder Dragon	GUW
Arcanis the Omnipotent	Legendary Creature — Wizard	U
Arcee, Sharpshooter // Arcee, Acrobatic Coupe	Legendary Artifact Creature — Robot // Legendary Artifact — Vehicle	RW
Archangel Avacyn // Avacyn, the Purifier	Legendary Creature — Angel // Legendary Creature — Angel	RW
Archelos, Lagoon Mystic	Legendary Creature — Turtle Shaman	BGU
Arcum Dagsson	Legendary Creature — Human Artificer	U
Ardbert, Warrior of Darkness	Legendary Creature — Spirit Warrior	BW
Ardenn, Intrepid Archaeologist	Legendary Creature — Kor Scout	W
Ardoz, Cobbler of War	Legendary Creature — Goblin Shaman	R
Ardyn, the Usurper	Legendary Creature — Elder Human Noble	B
Arixmethes, Slumbering Isle	Legendary Creature — Kraken	GU
Arjun, the Shifting Flame	Legendary Creature — Sphinx Wizard	RU
Armaggon, Future Shark	Legendary Creature — Shark Horror Mutant	B
Armix, Filigree Thrasher	Legendary Artifact Creature — Golem	B
Arna Kennerüd, Skycaptain	Legendary Creature — Human Knight	BUW
Arni Brokenbrow	Legendary Creature — Human Berserker	R
Arni Metalbrow	Legendary Creature — Human Berserker	R
Arno Dorian	Legendary Creature — Human Assassin	BR
Arnyn, Deathbloom Botanist	Legendary Creature — Vampire Druid	B
Aron, Benalia's Ruin	Legendary Creature — Phyrexian Human	BW
Arthur, Marigold Knight	Legendary Creature — Mouse Knight	RUW
Arvad the Cursed	Legendary Creature — Vampire Knight	BW
Arvinox, the Mind Flail	Legendary Enchantment Creature — Horror	B
Arwen, Mortal Queen	Legendary Creature — Elf Noble	GW
Arwen Undómiel	Legendary Creature — Elf Noble	GU
Arwen, Weaver of Hope	Legendary Creature — Elf Noble	G
Aryel, Knight of Windgrace	Legendary Creature — Human Knight	BW
Ascendant Evincar	Legendary Creature — Phyrexian Vampire Noble	B
Ashad, the Lone Cyberman	Legendary Artifact Creature — Cyberman	BRU
Ashaya, Soul of the Wild	Legendary Creature — Elemental	G
Ashcoat of the Shadow Swarm	Legendary Creature — Rat Warlock	B
Ashe, Princess of Dalmasca	Legendary Creature — Human Rebel Noble	W
Ashling, Flame Dancer	Legendary Creature — Elemental Shaman	R
Ashling, Rekindled // Ashling, Rimebound	Legendary Creature — Elemental Sorcerer // Legendary Creature — Elemental Wizard	RU
Ashling, the Extinguisher	Legendary Creature — Elemental Shaman	B
Ashling, the Limitless	Legendary Creature — Elemental Sorcerer	BGRUW
Ashling the Pilgrim	Legendary Creature — Elemental Shaman	R
Ashnod, Flesh Mechanist	Legendary Creature — Human Artificer	B
Ashnod the Uncaring	Legendary Creature — Human Artificer	BRU
Ash, Party Crasher	Legendary Creature — Human Peasant	RW
Asmira, Holy Avenger	Legendary Creature — Human Cleric	GW
Asmodeus the Archfiend	Legendary Creature — Devil God	B
Asmoranomardicadaistinaculdacar	Legendary Creature — Human Wizard	BR
Astarion, the Decadent	Legendary Creature — Vampire Elf Rogue	BW
Astor, Bearer of Blades	Legendary Creature — Human Warrior	RW
Astrid Peth	Legendary Creature — Human	W
Atalya, Samite Master	Legendary Creature — Human Cleric	W
Atarka, World Render	Legendary Creature — Dragon	GR
Atemsis, All-Seeing	Legendary Creature — Sphinx	U
Athreos, God of Passage	Legendary Enchantment Creature — God	BW
Athreos, Shroud-Veiled	Legendary Enchantment Creature — God	BW
Atla Palani, Nest Tender	Legendary Creature — Human Shaman	GRW
Atogatog	Legendary Creature — Atog	BGRUW
Atraxa, Grand Unifier	Legendary Creature — Phyrexian Angel	BGUW
Atraxa, Praetors' Voice	Legendary Creature — Phyrexian Angel Horror	BGUW
Atreus, Impulsive Son	Legendary Creature — God Archer	RU
Atris, Oracle of Half-Truths	Legendary Creature — Human Advisor	BU
Atsushi, the Blazing Sky	Legendary Creature — Dragon Spirit	R
Attuma, Atlantean Warlord	Legendary Creature — Merfolk Warrior Villain	U
Augusta, Order Returned	Legendary Creature — Spirit Advisor	W
Auntie Blyte, Bad Influence	Legendary Creature — Devil Advisor	R
Auntie Ool, Cursewretch	Legendary Creature — Goblin Warlock	BGR
Aunt May	Legendary Creature — Human Citizen	W
Aurelia, Exemplar of Justice	Legendary Creature — Angel	RW
Aurelia, the Law Above	Legendary Creature — Angel	RW
Aurelia, the Warleader	Legendary Creature — Angel	RW
Auron, Venerated Guardian	Legendary Creature — Human Spirit Samurai	W
Autumn Willow	Legendary Creature — Avatar	G
Avacyn, Angel of Hope	Legendary Creature — Angel	W
Avacyn, Guardian Angel	Legendary Creature — Angel	W
Avalanche of Sector 7	Legendary Creature — Human Rebel	R
Avatar Aang // Aang, Master of Elements	Legendary Creature — Human Avatar Ally // Legendary Creature — Avatar Ally	BGRUW
Avatar Kyoshi, Earthbender	Legendary Creature — Human Avatar	G
Avatar Roku, Firebender	Legendary Creature — Human Avatar	R
Aveline de Grandpré	Legendary Creature — Human Assassin	BG
Averna, the Chaos Bloom	Legendary Creature — Elemental Shaman	GRU
Axelrod Gunnarson	Legendary Creature — Giant	BR
Aya of Alexandria	Legendary Creature — Human Assassin	RW
Ayara, First of Locthwain	Legendary Creature — Elf Noble	B
Ayara, Widow of the Realm // Ayara, Furnace Queen	Legendary Creature — Elf Noble // Legendary Creature — Phyrexian Elf Noble	BR
Ayesha Tanaka	Legendary Creature — Human Artificer	UW
Ayesha Tanaka, Armorer	Legendary Creature — Human Artificer	UW
Ayli, Eternal Pilgrim	Legendary Creature — Kor Cleric	BW
Ayula, Queen Among Bears	Legendary Creature — Bear	G
Ayumi, the Last Visitor	Legendary Creature — Spirit	G
Azami, Lady of Scrolls	Legendary Creature — Human Wizard	U
Aziza, Mage Tower Captain	Legendary Creature — Djinn Sorcerer	RW
Azlask, the Swelling Scourge	Legendary Creature — Eldrazi	BGRUW
Azor, the Lawbringer	Legendary Creature — Sphinx	UW
Azula, Cunning Usurper	Legendary Creature — Human Noble Rogue	BU
Azula, On the Hunt	Legendary Creature — Human Noble	B
Azula, Ruthless Firebender	Legendary Creature — Human Noble	B
Azusa, Lost but Seeking	Legendary Creature — Human Monk	G
Baba Lysaga, Night Witch	Legendary Creature — Human Warlock	BG
Baeloth Barrityl, Entertainer	Legendary Creature — Elf Shaman	R
Baird, Argivian Recruiter	Legendary Creature — Human Soldier	RW
Baird, Steward of Argive	Legendary Creature — Human Soldier	W
Balan, Wandering Knight	Legendary Creature — Cat Knight	W
Baldin, Century Herdmaster	Legendary Creature — Human Warrior	W
Balmor, Battlemage Captain	Legendary Creature — Bird Wizard	RU
Balthier and Fran	Legendary Creature — Human Rabbit	GR
Balthor the Defiled	Legendary Creature — Zombie Dwarf	B
Balthor the Stout	Legendary Creature — Dwarf Barbarian	R
Bane, Lord of Darkness	Legendary Creature — God	BUW
Banon, the Returners' Leader	Legendary Creature — Human Cleric Rebel	RW
Baral and Kari Zev	Legendary Creature — Human	RU
Baral, Chief of Compliance	Legendary Creature — Human Wizard	U
Barbara Wright	Legendary Creature — Human Advisor	W
Barktooth Warbeard	Legendary Creature — Human Warrior	BR
Baron Bertram Graywater	Legendary Creature — Vampire Noble	BW
Baron Helmut Zemo	Legendary Creature — Human Noble Villain	B
Baron Sengir	Legendary Creature — Vampire Noble	B
Baron Von Count	Legendary Creature — Human Villain	BR
Barret, Avalanche Leader	Legendary Creature — Human Rebel	GR
Barret Wallace	Legendary Creature — Human Rebel	R
Barrin, Master Wizard	Legendary Creature — Human Wizard	U
Barrin, Tolarian Archmage	Legendary Creature — Human Wizard	U
Barrowin of Clan Undurr	Legendary Creature — Dwarf Cleric	BW
Bartel Runeaxe	Legendary Creature — Giant Warrior	BGR
Bartolomé del Presidio	Legendary Creature — Vampire Knight	BW
Bartz and Boko	Legendary Creature — Human Bird	G
Baru, Fist of Krosa	Legendary Creature — Human Druid	G
Baru, Wurmspeaker	Legendary Creature — Human Druid	G
Basandra, Battle Seraph	Legendary Creature — Angel	RW
Basim Ibn Ishaq	Legendary Creature — Human Assassin	BU
Basri, Tomorrow's Champion	Legendary Creature — Human Knight	W
Baxter, Fly in the Ointment	Legendary Creature — Insect Mutant Scientist	U
Baxter Stockman	Legendary Creature — Human Scientist	RU
Bayek of Siwa	Legendary Creature — Human Assassin	RW
Baylen, the Haymaker	Legendary Creature — Rabbit Warrior	GRW
Beatrix, Loyal General	Legendary Creature — Human Soldier	W
Bebop & Rocksteady	Legendary Creature — Boar Rhino Mutant	BG
Bebop, Skull & Crossbones	Legendary Creature — Boar Mutant	B
Bebop, Warthog Warrior	Legendary Creature — Boar Mutant Warrior	B
Beetle, Legacy Criminal	Legendary Creature — Human Rogue Villain	U
Be'lakor, the Dark Master	Legendary Creature — Demon Noble	BRU
Belbe, Corrupted Observer	Legendary Creature — Phyrexian Zombie Elf	BG
Beledros Witherbloom	Legendary Creature — Elder Dragon	BG
Belisarius Cawl	Legendary Artifact Creature — Human	UW
Bell Borca, Spectral Sergeant	Legendary Creature — Spirit Soldier	RW
Bello, Bard of the Brambles	Legendary Creature — Raccoon Bard	GR
Beluna Grandsquall // Seek Thrills	Legendary Creature — Giant Noble // Instant — Adventure	GRU
Ben-Ben, Akki Hermit	Legendary Creature — Goblin Shaman	R
Bennie Bracks, Zoologist	Legendary Creature — Elf Druid	W
Beregond of the Guard	Legendary Creature — Human Soldier	W
Berta, Wise Extrapolator	Legendary Creature — Frog Druid	GU
Bessie, the Doctor's Roadster	Legendary Artifact — Vehicle	
Bess, Soul Nourisher	Legendary Creature — Human Citizen	GW
Betor, Ancestor's Voice	Legendary Creature — Spirit Dragon	BGW
Betor, Kin to All	Legendary Creature — Spirit Dragon	BGW
Beza, the Bounding Spring	Legendary Creature — Elemental Elk	W
Bhaal, Lord of Murder	Legendary Creature — God	BGR
Bilbo, Birthday Celebrant	Legendary Creature — Halfling Rogue	BGW
Bilbo, Luckwearer // Burglar's Plot	Legendary Creature — Halfling Rogue // Sorcery — Adventure	U
Bilbo, Retired Burglar	Legendary Creature — Halfling Rogue	RU
Bilbo, Thief in the Night	Legendary Creature — Halfling Rogue	U
Bill Ferny, Bree Swindler	Legendary Creature — Human Rogue	U
Bill Potts	Legendary Creature — Human	R
Bill the Pony	Legendary Creature — Horse	W
Birgi, God of Storytelling // Harnfel, Horn of Bounty	Legendary Creature — God // Legendary Artifact	R
Bjorna, Nightfall Alchemist	Legendary Creature — Human	RU
Black Cat, Cunning Thief	Legendary Creature — Human Rogue Villain	B
Black Panther, Wakandan King	Legendary Creature — Human Noble Hero	GW
Black Waltz No. 3	Legendary Creature — Wizard	BR
Bladewing, Deathless Tyrant	Legendary Creature — Dragon Skeleton	BR
Bladewing the Risen	Legendary Creature — Zombie Dragon	BR
Blaster, Combat DJ // Blaster, Morale Booster	Legendary Artifact Creature — Robot // Legendary Artifact	GR
Blech, Loafing Pest	Legendary Creature — Pest	BG
Blex, Vexing Pest // Search for Blex	Legendary Creature — Pest // Sorcery	BG
Blim, Comedic Genius	Legendary Creature — Imp	BR
Blind Seer	Legendary Creature — Human Wizard	U
Blitzwing, Cruel Tormentor // Blitzwing, Adaptive Assailant	Legendary Artifact Creature — Robot // Legendary Artifact — Vehicle	B
Blue, Loyal Raptor	Legendary Creature — Dinosaur	GU
Bohn, Beguiling Balladeer	Legendary Creature — Human Bard	RU
Bonny Pall, Clearcutter	Legendary Creature — Giant Scout	GU
Bontu the Glorified	Legendary Creature — God	B
Borborygmos	Legendary Creature — Cyclops	GR
Borborygmos and Fblthp	Legendary Creature — Cyclops Homunculus	GRU
Borborygmos Enraged	Legendary Creature — Cyclops	GR
Boris Devilboon	Legendary Creature — Zombie Wizard	BR
Boromir, Gondor's Hope	Legendary Creature — Human Warrior	UW
Boromir, Warden of the Tower	Legendary Creature — Human Soldier	W
Bortuk Bonerattle	Legendary Creature — Troll Shaman	BG
Bosco, Just a Bear	Legendary Creature — Bear	G
Bosh, Iron Golem	Legendary Artifact Creature — Golem	R
Bounteous Kirin	Legendary Creature — Kirin Spirit	G
Brago, King Eternal	Legendary Creature — Spirit Noble	UW
Braids, Arisen Nightmare	Legendary Creature — Nightmare	B
Braids, Cabal Minion	Legendary Creature — Human Minion	B
Braids, Conjurer Adept	Legendary Creature — Human Wizard	U
Brallin, Skyshark Rider	Legendary Creature — Human Shaman	R
Braulios of Pheres Band	Legendary Creature — Centaur Scout	G
Breeches, Brazen Plunderer	Legendary Creature — Goblin Pirate	R
Breeches, Eager Pillager	Legendary Creature — Goblin Pirate	R
Breeches, the Blastmaker	Legendary Creature — Goblin Pirate	RU
Breena, the Demagogue	Legendary Creature — Bird Warlock	BW
Brenard, Ginger Sculptor	Legendary Creature — Human Artificer	GUW
Bre of Clan Stoutarm	Legendary Creature — Giant Warrior	RW
Breya, Etherium Shaper	Legendary Artifact Creature — Human	BRUW
Bria, Riptide Rogue	Legendary Creature — Otter Rogue	RU
Bright-Palm, Soul Awakener	Legendary Creature — Fox Shaman	GRW
Brigid, Clachan's Heart // Brigid, Doun's Mind	Legendary Creature — Kithkin Warrior // Legendary Creature — Kithkin Soldier	GW
Brigid, Hero of Kinsbaile	Legendary Creature — Kithkin Archer	W
Brigone, Soldier of Meletis	Legendary Creature — Human Soldier	W
Brimaz, Blight of Oreskos	Legendary Creature — Phyrexian Cat	BW
Brimaz, King of Oreskos	Legendary Creature — Cat Soldier	W
"Brims" Barone, Midway Mobster	Legendary Creature — Human Rogue	BW
Brinelin, the Moon Kraken	Legendary Creature — Kraken	U
Brion Stoutarm	Legendary Creature — Giant Warrior	RW
Bristly Bill, Spine Sower	Legendary Creature — Plant Druid	G
Brokkos, Apex of Forever	Legendary Creature — Nightmare Beast Elemental	BGU
Brothers Yamazaki	Legendary Creature — Human Samurai	R
Bruce Banner // The Incredible Hulk	Legendary Creature — Human Scientist Hero // Legendary Creature — Gamma Berserker Hero	GRU
Brudiclad, Telchor Engineer	Legendary Artifact Creature — Phyrexian Artificer	RU
Bruenor Battlehammer	Legendary Creature — Dwarf Warrior	RW
Bruna, Light of Alabaster	Legendary Creature — Angel	UW
Bruna, the Fading Light	Legendary Creature — Angel Horror	W
Bruse Tarl, Boorish Herder	Legendary Creature — Human Ally	RW
Bruse Tarl, Roving Rancher	Legendary Creature — Human Warrior	RW
Bruvac the Grandiloquent	Legendary Creature — Human Advisor	U
Bugenhagen, Wise Elder	Legendary Creature — Human Shaman	G
Bumi, Eclectic Earthbender	Legendary Creature — Human Noble Ally	G
Bumi, King of Three Trials	Legendary Creature — Human Noble Ally	G
Bumi, Unleashed	Legendary Creature — Human Noble Ally	GR
Burakos, Party Leader	Legendary Creature — Orc	B
Butch DeLoria, Tunnel Snake	Legendary Creature — Human Rogue	B
Butterbur, Bree Innkeeper	Legendary Creature — Human Peasant	GW
Byrke, Long Ear of the Law	Legendary Creature — Rabbit Soldier	GW
Cabal Patriarch	Legendary Creature — Human Wizard	B
Cadira, Caller of the Small	Legendary Creature — Orc Ranger	GW
Cadric, Soul Kindler	Legendary Creature — Dwarf Wizard	RW
Caelorna, Coral Tyrant	Legendary Creature — Octopus	U
Caesar, Legion's Emperor	Legendary Creature — Human Soldier	BRW
Cait, Cage Brawler	Legendary Creature — Human Warrior	GR
Cait Sith, Fortune Teller	Legendary Artifact Creature — Cat Moogle	R
Calamity, Galloping Inferno	Legendary Creature — Horse Mount	R
Calix, Guided by Fate	Legendary Enchantment Creature — Human Druid	GW
Callaphe, Beloved of the Sea	Legendary Enchantment Creature — Demigod	U
Camellia, the Seedmiser	Legendary Creature — Squirrel Warlock	BG
Candlekeep Sage	Legendary Enchantment — Background	U
Cao Cao, Lord of Wei	Legendary Creature — Human Soldier	B
Cao Ren, Wei Commander	Legendary Creature — Human Soldier Warrior	B
Caparocti Sunborn	Legendary Creature — Human Soldier	RW
Captain America, First Avenger	Legendary Creature — Human Soldier Hero	RUW
Captain America, Super-Soldier	Legendary Creature — Human Soldier Hero	W
Captain America, Team Leader	Legendary Creature — Human Soldier Hero	RUW
Captain Howler, Sea Scourge	Legendary Creature — Shark Pirate	RU
Captain Lannery Storm	Legendary Creature — Human Pirate	R
Captain N'ghathrod	Legendary Creature — Horror Pirate	BU
Captain Rex Nebula	Legendary Creature — Human Pilot Employee	RW
Captain Ripley Vance	Legendary Creature — Human Pirate	R
Captain Sisay	Legendary Creature — Human Soldier	GW
Captain Storm, Cosmium Raider	Legendary Creature — Human Pirate	RU
Captain Vargus Wrath	Legendary Creature — Orc Pirate	RU
Caradora, Heart of Alacria	Legendary Creature — Human Knight	GW
Carmen, Cruel Skymarcher	Legendary Creature — Vampire Soldier	BW
Carnage, Crimson Chaos	Legendary Creature — Symbiote Villain	BR
Carth the Lion	Legendary Creature — Human Warrior	BG
Casal, Lurkwood Pathfinder // Casal, Pathbreaker Owlbear	Legendary Creature — Tiefling Druid // Legendary Creature — Bird Bear	G
Casey Jones, Asphalt Hooligan	Legendary Creature — Human Berserker	R
Casey Jones, Back Alley Brute	Legendary Creature — Human Berserker	R
Casey Jones, Jury-Rig Justiciar	Legendary Creature — Human Berserker	R
Casey Jones, Vigilante	Legendary Creature — Human Berserker	R
Casey & Raph, Hotheads	Legendary Creature — Mutant Ninja Human Turtle	R
Cass, Hand of Vengeance	Legendary Creature — Human Ranger	RW
Catti-brie of Mithral Hall	Legendary Creature — Human Archer	GW
Cayth, Famed Mechanist	Legendary Creature — Dwarf Artificer	RUW
Cazur, Ruthless Stalker	Legendary Creature — Human Warrior	G
Cecil, Dark Knight // Cecil, Redeemed Paladin	Legendary Creature — Human Knight // Legendary Creature — Human Knight	BW
Cecily, Haunted Mage	Legendary Creature — Human Wizard	BRU
Celeborn the Wise	Legendary Creature — Elf Noble	G
Celes, Rune Knight	Legendary Creature — Human Wizard Knight	BRW
Celestial Kirin	Legendary Creature — Kirin Spirit	W
Celestine, the Living Saint	Legendary Creature — Human Warrior	W
Chainer, Dementia Master	Legendary Creature — Human Minion	B
Chainer, Nightmare Adept	Legendary Creature — Human Minion	BR
Chameleon, Master of Disguise	Legendary Creature — Human Shapeshifter Villain	U
Chandler	Legendary Creature — Human Rogue	R
