card,interaction,ability_kind,invariant,message
"Disowned Ancestor","goldilocks_keyword_dead","","","keyword=outlast: board was set up but nothing changed"
"Wall of Ice","goldilocks_keyword_dead","","","keyword=defender: board was set up but nothing changed"
"Tidehollow Strix","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Tidehollow Strix","goldilocks_keyword_dead","","","keyword=deathtouch: board was set up but nothing changed"
"Willow Dryad","goldilocks_keyword_dead","","","keyword=forestwalk: board was set up but nothing changed"
"Wall of Razors","goldilocks_keyword_dead","","","keyword=defender: board was set up but nothing changed"
"Merfolk Raiders","goldilocks_keyword_dead","","","keyword=islandwalk: board was set up but nothing changed"
"Wall of Razors","goldilocks_keyword_dead","","","keyword=first strike: board was set up but nothing changed"
"Merfolk Raiders","goldilocks_keyword_dead","","","keyword=phasing: board was set up but nothing changed"
"Blitz Automaton","goldilocks_keyword_dead","","","keyword=prototype: board was set up but nothing changed"
"Blitz Automaton","goldilocks_keyword_dead","","","keyword=haste: board was set up but nothing changed"
"Vexing Gull","goldilocks_keyword_dead","","","keyword=flash: board was set up but nothing changed"
"Vexing Gull","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Pestilent Syphoner","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Pestilent Syphoner","goldilocks_keyword_dead","","","keyword=toxic: board was set up but nothing changed"
"Soul-Guide Lantern","goldilocks_dead_effect","","","effect=exile abilityKind=triggered filterBase=""card"": board was set up but nothing changed"
"Bygone Colossus","goldilocks_keyword_dead","","","keyword=warp: board was set up but nothing changed"
"Feral Abomination","goldilocks_keyword_dead","","","keyword=deathtouch: board was set up but nothing changed"
"Highborn Ghoul","goldilocks_keyword_dead","","","keyword=intimidate: board was set up but nothing changed"
"Dawn Gryff","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Aardvark Sloth","goldilocks_keyword_dead","","","keyword=lifelink: board was set up but nothing changed"
"Halberdier","goldilocks_keyword_dead","","","keyword=first strike: board was set up but nothing changed"
"Kingpin's Pet","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Kingpin's Pet","goldilocks_keyword_dead","","","keyword=extort: board was set up but nothing changed"
"Melesse Spirit","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Melesse Spirit","goldilocks_keyword_dead","","","keyword=protection: board was set up but nothing changed"
"Lost Soul","goldilocks_keyword_dead","","","keyword=swampwalk: board was set up but nothing changed"
"Kjeldoran Escort","goldilocks_keyword_dead","","","keyword=banding: board was set up but nothing changed"
"Sphinx of the Steel Wind","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Sphinx of the Steel Wind","goldilocks_keyword_dead","","","keyword=first strike: board was set up but nothing changed"
"Sphinx of the Steel Wind","goldilocks_keyword_dead","","","keyword=vigilance: board was set up but nothing changed"
"Sphinx of the Steel Wind","goldilocks_keyword_dead","","","keyword=lifelink: board was set up but nothing changed"
"Sphinx of the Steel Wind","goldilocks_keyword_dead","","","keyword=protection: board was set up but nothing changed"
"Argivian Phalanx","goldilocks_keyword_dead","","","keyword=affinity for creatures: board was set up but nothing changed"
"Argivian Phalanx","goldilocks_keyword_dead","","","keyword=vigilance: board was set up but nothing changed"
"Sojourner's Companion","goldilocks_keyword_dead","","","keyword=affinity for artifacts: board was set up but nothing changed"
"Sojourner's Companion","goldilocks_keyword_dead","","","keyword=artifact_landcycling: board was set up but nothing changed"
"Pouncing Cheetah","goldilocks_keyword_dead","","","keyword=flash: board was set up but nothing changed"
"Wilson, Bear Comrade","goldilocks_keyword_dead","","","keyword=reach: board was set up but nothing changed"
"Wilson, Bear Comrade","goldilocks_keyword_dead","","","keyword=trample: board was set up but nothing changed"
"Wilson, Bear Comrade","goldilocks_keyword_dead","","","keyword=ward: board was set up but nothing changed"
"Wilson, Bear Comrade","goldilocks_keyword_dead","","","keyword=specialize: board was set up but nothing changed"
"Wall of Earth","goldilocks_keyword_dead","","","keyword=defender: board was set up but nothing changed"
"Moon Sprite","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Dawn's Light Archer","goldilocks_keyword_dead","","","keyword=flash: board was set up but nothing changed"
"Dawn's Light Archer","goldilocks_keyword_dead","","","keyword=reach: board was set up but nothing changed"
"Deepcavern Imp","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Deepcavern Imp","goldilocks_keyword_dead","","","keyword=haste: board was set up but nothing changed"
"Deepcavern Imp","goldilocks_keyword_dead","","","keyword=echo: board was set up but nothing changed"
"Rock Badger","goldilocks_keyword_dead","","","keyword=mountainwalk: board was set up but nothing changed"
"Marisi's Twinclaws","goldilocks_keyword_dead","","","keyword=double strike: board was set up but nothing changed"
"Vengeful Vampire","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Foot Mystic","goldilocks_dead_effect","","","effect=ability_word abilityKind=static filterBase="""": board was set up but nothing changed"
"Tajuru Snarecaster","goldilocks_keyword_dead","","","keyword=reach: board was set up but nothing changed"
"Crocanura","goldilocks_keyword_dead","","","keyword=reach: board was set up but nothing changed"
"Guardian of the Guildpact","goldilocks_keyword_dead","","","keyword=protection: board was set up but nothing changed"
"Haunted Guardian","goldilocks_keyword_dead","","","keyword=defender: board was set up but nothing changed"
"Haunted Guardian","goldilocks_keyword_dead","","","keyword=first strike: board was set up but nothing changed"
"Cuboid Colony","goldilocks_keyword_dead","","","keyword=flash: board was set up but nothing changed"
"Cuboid Colony","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Cuboid Colony","goldilocks_keyword_dead","","","keyword=trample: board was set up but nothing changed"
"Cuboid Colony","goldilocks_keyword_dead","","","keyword=increment: board was set up but nothing changed"
"Wake the Reflections","goldilocks_keyword_dead","","","keyword=populate: board was set up but nothing changed"
"Tundra Wolves","goldilocks_keyword_dead","","","keyword=first strike: board was set up but nothing changed"
"Charging Monstrosaur","goldilocks_keyword_dead","","","keyword=trample: board was set up but nothing changed"
"Charging Monstrosaur","goldilocks_keyword_dead","","","keyword=haste: board was set up but nothing changed"
"Land Leeches","goldilocks_keyword_dead","","","keyword=first strike: board was set up but nothing changed"
"Zephyr Gull","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Veteran Guardmouse","goldilocks_dead_effect","","","effect=ability_word abilityKind=static filterBase="""": board was set up but nothing changed"
"Ardent Militia","goldilocks_keyword_dead","","","keyword=vigilance: board was set up but nothing changed"
"Slinking Serpent","goldilocks_keyword_dead","","","keyword=forestwalk: board was set up but nothing changed"
"Scrounger of Souls","goldilocks_keyword_dead","","","keyword=lifelink: board was set up but nothing changed"
"Hitchclaw Recluse","goldilocks_keyword_dead","","","keyword=reach: board was set up but nothing changed"
"Marsh Boa","goldilocks_keyword_dead","","","keyword=swampwalk: board was set up but nothing changed"
"Angel of Retribution","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Angel of Retribution","goldilocks_keyword_dead","","","keyword=first strike: board was set up but nothing changed"
"Basilica Guards","goldilocks_keyword_dead","","","keyword=defender: board was set up but nothing changed"
"Basilica Guards","goldilocks_keyword_dead","","","keyword=extort: board was set up but nothing changed"
"Pyromantic Pilgrim","goldilocks_keyword_dead","","","keyword=haste: board was set up but nothing changed"
"Bounding Wolf","goldilocks_keyword_dead","","","keyword=flash: board was set up but nothing changed"
"Bounding Wolf","goldilocks_keyword_dead","","","keyword=reach: board was set up but nothing changed"
"Vampire Outcasts","goldilocks_keyword_dead","","","keyword=bloodthirst: board was set up but nothing changed"
"Vampire Outcasts","goldilocks_keyword_dead","","","keyword=lifelink: board was set up but nothing changed"
"Glissa's Courier","goldilocks_keyword_dead","","","keyword=mountainwalk: board was set up but nothing changed"
"Will-Forged Golem","goldilocks_keyword_dead","","","keyword=convoke: board was set up but nothing changed"
"Ogre Sentry","goldilocks_keyword_dead","","","keyword=defender: board was set up but nothing changed"
"Merfolk of the Depths","goldilocks_keyword_dead","","","keyword=flash: board was set up but nothing changed"
"Force of Savagery","goldilocks_keyword_dead","","","keyword=trample: board was set up but nothing changed"
"Lingering Tormentor","goldilocks_keyword_dead","","","keyword=fear: board was set up but nothing changed"
"Sigiled Behemoth","goldilocks_keyword_dead","","","keyword=exalted: board was set up but nothing changed"
"Caprichrome","goldilocks_keyword_dead","","","keyword=flash: board was set up but nothing changed"
"Caprichrome","goldilocks_keyword_dead","","","keyword=vigilance: board was set up but nothing changed"
"Caprichrome","goldilocks_keyword_dead","","","keyword=devour artifact: board was set up but nothing changed"
"Cliff Threader","goldilocks_keyword_dead","","","keyword=mountainwalk: board was set up but nothing changed"
"Benalish Faithbonder","goldilocks_keyword_dead","","","keyword=vigilance: board was set up but nothing changed"
"Benalish Faithbonder","goldilocks_keyword_dead","","","keyword=enlist: board was set up but nothing changed"
"Heartwood Treefolk","goldilocks_keyword_dead","","","keyword=forestwalk: board was set up but nothing changed"
"Sun-Dappled Celebrant","goldilocks_keyword_dead","","","keyword=convoke: board was set up but nothing changed"
"Sun-Dappled Celebrant","goldilocks_keyword_dead","","","keyword=vigilance: board was set up but nothing changed"
"Blightwidow","goldilocks_keyword_dead","","","keyword=reach: board was set up but nothing changed"
"Blightwidow","goldilocks_keyword_dead","","","keyword=infect: board was set up but nothing changed"
"Lord of Tresserhorn","goldilocks_dead_effect","","","effect=modification_effect abilityKind=triggered filterBase="""": board was set up but nothing changed"
"Demonic Hordes","goldilocks_dead_effect","","","effect=destroy abilityKind=activated filterBase=""land"": board was set up but nothing changed"
"Ancient Spider","goldilocks_keyword_dead","","","keyword=first strike: board was set up but nothing changed"
"Ancient Spider","goldilocks_keyword_dead","","","keyword=reach: board was set up but nothing changed"
"Primoc Escapee","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Healer's Hawk","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Healer's Hawk","goldilocks_keyword_dead","","","keyword=lifelink: board was set up but nothing changed"
"Mosscoat Goriak","goldilocks_keyword_dead","","","keyword=vigilance: board was set up but nothing changed"
"Ghor-Clan Savage","goldilocks_keyword_dead","","","keyword=bloodthirst: board was set up but nothing changed"
"Aboroth","goldilocks_keyword_dead","","","keyword=cumulative upkeep-put a -1/-1 counter on this creature: board was set up but nothing changed"
"Iridescent Angel","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Iridescent Angel","goldilocks_keyword_dead","","","keyword=protection: board was set up but nothing changed"
"Slavering Branchsnapper","goldilocks_keyword_dead","","","keyword=trample: board was set up but nothing changed"
"Changeling Sentinel","goldilocks_keyword_dead","","","keyword=changeling: board was set up but nothing changed"
"Changeling Sentinel","goldilocks_keyword_dead","","","keyword=vigilance: board was set up but nothing changed"
"Spike Jester","goldilocks_keyword_dead","","","keyword=haste: board was set up but nothing changed"
"Maulfist Squad","goldilocks_keyword_dead","","","keyword=menace: board was set up but nothing changed"
"Shardless Agent","goldilocks_keyword_dead","","","keyword=cascade: board was set up but nothing changed"
"Deft Duelist","goldilocks_keyword_dead","","","keyword=first strike: board was set up but nothing changed"
"Deft Duelist","goldilocks_keyword_dead","","","keyword=shroud: board was set up but nothing changed"
